"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,1,22,10,12,1,2,9,0,0,7,27,2,57,H
1,1,14,25,29,1,1,9,0,0,15,37,6,60,H
0,2,11,4,8,1,0,4,0,0,0,9,0,23,H
0,0,1,16,37,2,0,1,0,0,1,0,0,6,H
0,1,28,20,20,1,1,10,0,0,20,31,6,39,H
0,0,1,12,37,2,0,1,0,0,0,0,0,1,H
0,3,51,12,99,4,1,20,0,0,4,55,0,112,H
0,4,39,18,31,1,1,6,0,0,9,71,4,98,H
0,2,47,8,43,13,1,25,0,0,3,36,9,107,H
0,7,34,3,88,9,19,12,0,0,6,43,13,144,H
0,0,1,8,15,2,0,1,0,0,0,0,0,1,H
0,0,13,11,7,1,2,5,0,0,9,19,3,22,H
0,1,31,0,67,43,2,13,0,0,8,56,3,74,H
0,6,105,25,129,4,6,55,0,1,8,106,3,291,H
0,0,21,4,29,1,1,9,0,0,0,20,1,37,H
0,0,37,13,31,1,0,7,0,0,12,43,2,81,H
0,6,90,24,88,2,6,36,0,1,9,111,0,246,H
0,0,10,4,6,1,1,4,0,0,1,14,0,10,H
0,1,101,39,101,1,15,40,0,0,24,105,21,248,H
0,9,61,29,72,1,8,27,0,0,11,70,4,218,H
0,0,50,0,79,41,0,25,0,0,0,30,0,88,H
0,22,11,6,165,9,1,18,0,0,4,15,12,125,H
0,15,27,2,47,8,0,21,0,0,0,27,0,107,H
0,0,46,11,72,3,4,23,0,0,7,61,0,67,H
0,5,71,8,143,14,5,47,0,0,17,51,1,108,H
0,1,41,0,0,49,10,14,0,0,0,28,14,108,H
0,1,42,0,0,50,11,14,0,0,0,29,14,112,H
0,1,71,0,0,63,2,52,0,0,0,37,18,199,H
0,3,11,23,79,2,0,4,0,0,1,13,0,40,H
0,0,2,0,0,1,0,1,0,0,0,0,0,2,H
0,0,3,0,1,1,0,0,0,0,0,0,0,3,H
0,4,33,13,52,3,2,12,0,0,3,26,0,92,H
0,11,14,67,77,2,2,2,0,0,3,9,0,83,H
0,0,38,2,4,7,0,15,0,0,2,31,23,50,H
0,9,58,10,107,30,19,13,0,0,38,46,10,148,H
2,20,36,6,195,7,17,25,0,0,11,31,1,325,H
0,0,11,4,13,3,0,0,0,0,0,5,0,3,H
0,1,32,0,106,8,10,0,0,0,1,15,0,125,H
0,34,17,10,61,1,0,58,0,0,4,32,0,148,H
0,0,10,2,22,1,8,0,0,0,23,44,0,13,H
0,0,21,6,33,1,0,1,0,0,0,38,0,34,H
0,0,17,10,20,1,0,1,0,0,2,36,0,38,H
0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
0,0,1,0,0,0,0,0,0,0,0,0,1,0,H
0,0,16,1,0,2,0,6,0,0,0,2,2,10,H
0,3,0,0,0,0,0,0,0,0,0,1,0,1,H
0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
0,0,13,1,24,8,0,2,0,0,0,16,1,8,H
0,0,6,4,0,0,0,0,0,0,0,5,0,0,H
0,1,19,32,13,1,0,15,0,0,0,20,0,63,H
1,0,2,4,2,1,0,1,0,0,0,1,0,2,H
0,9,26,0,0,144,0,24,4,0,1,11,2,92,H
