"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,54,0,0,0,38,0,18,0,0,0,104,113,48,B
0,30,1,3,0,25,0,32,0,0,12,60,14,102,B
0,51,0,0,0,100,0,58,0,0,1,80,60,115,B
0,30,0,0,0,45,0,23,3,0,3,46,62,70,B
1,139,2,0,1,98,0,123,7,0,13,198,199,348,B
0,42,2,0,0,48,0,44,0,0,1,65,67,86,B
0,138,0,0,0,221,0,185,0,0,0,190,133,332,B
5,136,65,1,0,113,0,162,8,0,21,266,167,367,B
0,72,5,0,0,158,0,64,5,0,7,135,79,205,B
0,57,4,0,0,189,0,49,0,0,7,128,83,202,B
1,54,4,0,5,62,0,69,0,0,7,109,94,128,B
0,34,2,0,0,35,0,30,0,0,5,59,58,125,B
3,223,3,0,0,243,0,212,2,0,25,338,315,499,B
0,24,0,0,0,12,0,13,0,0,3,28,34,14,B
0,15,0,0,0,17,0,9,0,0,3,31,22,20,B
0,79,0,0,0,64,0,69,2,0,4,104,84,140,B
0,4,0,1,0,7,0,3,0,0,4,8,10,13,B
0,173,2,0,0,396,0,211,5,0,11,380,260,541,B
0,5,0,1,0,8,0,3,0,0,1,6,10,7,B
0,29,0,0,0,31,0,28,1,0,2,43,43,21,B
1,47,8,0,1,32,0,45,1,0,6,86,77,89,B
4,132,1,16,48,90,0,91,11,0,19,180,130,255,B
0,5,0,0,0,12,0,3,2,0,0,11,13,16,B
0,69,11,3,0,76,0,51,21,0,26,80,112,180,B
0,33,2,0,0,22,0,27,4,0,0,70,53,81,B
0,92,2,2,0,76,0,109,11,1,9,168,120,166,B
0,141,0,0,13,184,0,125,20,0,34,384,263,369,B
0,1,0,0,0,9,0,1,0,0,0,0,2,1,B
0,24,0,0,0,15,0,25,0,0,0,24,28,37,B
