"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,11,568,0,560,155,0,797,50,1,3,376,208,1857,D
1,136,257,0,276,17,0,415,5,0,6,220,186,592,D
0,3,128,1,114,63,0,145,34,2,18,100,76,284,D
0,2,43,0,32,15,0,54,0,0,6,56,34,136,D
0,3,225,3,250,62,0,244,4,0,5,250,136,723,D
0,0,13,1,9,2,2,10,0,0,0,15,8,44,D
0,9,581,1,741,270,0,760,34,0,28,466,189,1822,D
1,33,38,0,98,18,0,68,2,2,19,65,29,170,D
0,0,11,0,0,1,0,10,0,0,2,8,6,5,D
0,0,1,0,0,2,0,1,0,0,0,1,1,1,D
0,0,1,0,1,2,0,0,0,0,0,3,0,0,D
1,7,650,2,546,177,2,756,32,0,22,602,267,2119,D
2,1,130,0,145,22,0,193,4,0,0,63,31,709,D
0,2,368,0,245,97,0,533,18,1,0,368,205,1747,D
0,3,83,0,35,42,0,76,9,0,0,49,67,224,D
0,0,21,0,38,8,0,26,3,0,13,32,40,70,D
1,6,626,0,700,228,0,894,50,0,3,623,604,2302,D
2,6,262,2,304,76,3,280,21,0,13,171,111,829,D
2,4,352,0,567,53,0,524,18,1,1,254,107,1511,D
3,5,451,2,741,75,1,597,41,1,2,488,191,1697,D
0,1,237,0,297,38,0,375,16,0,0,199,73,980,D
0,0,392,0,368,121,0,590,47,0,2,332,79,1866,D
0,4,157,0,181,47,0,210,19,0,2,191,123,644,D
1,5,422,2,470,99,0,651,29,1,6,254,148,1571,D
0,0,97,0,159,17,0,208,13,0,2,78,64,447,D
0,3,18,1,7,6,0,18,5,0,2,141,13,125,D
7,6,246,0,258,74,0,312,13,0,0,211,235,734,D
0,3,33,0,7,12,0,30,0,0,0,45,34,97,D
0,0,373,2,525,81,0,564,33,2,4,304,199,1482,D
0,0,514,0,964,120,0,770,51,1,0,747,338,2014,D
0,0,346,0,833,45,0,461,26,1,0,402,175,1609,D
0,4,618,1,499,234,0,728,43,0,1,387,324,2034,D
1,0,335,1,441,100,0,498,37,0,1,242,159,1373,D
2,91,1610,0,898,171,0,548,667,0,130,1057,170,1538,D
0,11,573,3,409,133,0,778,25,0,4,689,416,2233,D
1,15,27,0,97,13,4,57,5,0,28,24,30,91,D
0,0,130,0,11,29,0,111,7,0,0,180,85,341,D
0,0,82,0,192,14,0,149,4,0,3,45,21,359,D
2,0,175,0,187,66,0,302,1,0,0,104,29,574,D
0,1,137,0,54,33,0,196,16,0,0,156,102,557,D
0,0,80,0,42,34,0,86,18,0,0,73,63,312,D
0,0,124,0,94,28,0,157,4,0,1,105,63,421,D
0,0,79,1,106,37,0,107,9,0,0,50,19,268,D
0,1,297,0,284,86,0,434,18,1,1,276,133,1198,D
0,1,38,0,14,6,0,61,0,0,4,32,15,99,D
0,16,207,0,109,26,0,224,20,0,2,90,89,517,D
0,0,434,0,382,113,0,592,36,2,0,332,267,1590,D
0,0,56,0,31,2030,0,66,14,1,0,26,19,194,D
8,14,632,1,559,168,14,890,6,1,0,761,550,2180,D
0,2,267,0,292,22,1,311,18,0,2,314,198,1097,D
2,0,72,0,43,17,0,82,5,0,0,68,66,222,D
0,0,103,0,49,22,0,157,2,0,0,97,66,315,D
14,5,286,0,348,42,0,426,23,0,2,266,162,1136,D
0,0,7,0,3,5,0,13,0,0,0,3,7,23,D
0,1,72,0,64,24,0,69,8,0,0,59,33,205,D
0,2,521,0,670,171,0,758,22,0,1,461,268,1939,D
0,0,2,1,3,2,0,3,0,0,0,1,8,7,D
0,21,10,0,11,1,32,1,0,0,0,18,15,97,D
0,14,51,0,48,8,24,1,0,0,8,21,6,32,D
0,5,4,0,0,1,13,1,0,0,5,17,5,45,D
0,35,8,0,21,10,54,0,0,0,4,25,10,138,D
0,29,43,0,53,10,32,10,0,0,6,121,28,159,D
0,61,48,0,25,27,117,8,0,0,8,139,77,391,D
0,97,52,0,143,16,210,11,8,0,27,278,66,708,D
0,58,290,4,11,18,1,12,3,0,0,345,6,71,D
0,17,27,0,10,10,30,3,0,0,0,65,32,122,D
0,88,31,0,38,1,164,4,3,0,28,159,55,221,D
0,0,8,0,0,1,0,8,0,0,0,3,3,9,D
0,0,1,0,0,6,0,1,0,0,1,3,8,3,D
0,79,13,2,19,53,0,122,2,0,0,104,58,398,D
0,27,6,1,6,11,0,47,4,0,1,57,27,143,D
0,19,8,1,6,4,2,38,3,0,0,66,20,126,D
0,21,10,1,15,12,4,37,1,0,0,53,29,111,D
0,37,0,1,0,8,0,51,4,6,0,67,48,206,D
0,40,6,1,5,6,0,61,3,5,1,40,32,197,D
0,0,63,0,0,39,0,154,16,0,47,89,23,298,D
0,1,0,0,0,1,0,0,0,0,0,0,1,0,E
